session,m1_l,m1_m,pmd_l,pmd_m,dlpfc,total
bex_20230621_spikes_sorted_SES,34,37,44,41,0,156
bex_20230624_spikes_sorted_SES,35,37,47,29,0,148
bex_20230629_spikes_sorted_SES,35,34,45,33,0,147
bex_20230630_spikes_sorted_SES,34,37,49,39,0,159
bex_20230701_spikes_sorted_SES,34,37,36,23,0,130
bex_20230708_spikes_sorted_SES,34,31,45,37,0,147
ken_20230618_spikes_sorted_SES,42,53,105,103,87,390
ken_20230622_spikes_sorted_SES,41,41,100,109,87,378
ken_20230629_spikes_sorted_SES,40,46,99,105,85,375
ken_20230630_spikes_sorted_SES,38,49,93,110,89,379
ken_20230701_spikes_sorted_SES,38,45,104,107,89,383
ken_20230703_spikes_sorted_SES,41,45,98,107,92,383
